Detailed solution trace (one move per line)
alpha=1.0, beta=1.0
step	from	to	edge_dist	city_gold_total	taken_here	carry_before	carry_after	move_cost	cumulative_cost	delivered_total_so_far
96	0	28	0.080083	521.151730	0.000000	0.000000	0.000000	0.080083	8829.006898	18475.017508
97	28	45	0.332088	555.297617	555.297617	0.000000	555.297617	0.332088	8829.338986	18475.017508
98	45	28	0.332088	521.151730	0.000000	555.297617	555.297617	184.739612	9014.078598	18475.017508
99	28	0	0.080083	0.000000	0.000000	555.297617	0.000000	44.549908	9058.628506	19030.315125
100	0	17	0.312017	958.600654	0.000000	0.000000	0.000000	0.312017	9058.940523	19030.315125
101	17	13	0.145695	581.480079	581.480079	0.000000	581.480079	0.145695	9059.086218	19030.315125
102	13	17	0.145695	958.600654	0.000000	581.480079	581.480079	84.864537	9143.950755	19030.315125
103	17	0	0.312017	0.000000	0.000000	581.480079	0.000000	181.743945	9325.694700	19611.795204
104	0	30	0.170865	22.590468	0.000000	0.000000	0.000000	0.170865	9325.865566	19611.795204
105	30	36	0.300780	672.567853	672.567853	0.000000	672.567853	0.300780	9326.166345	19611.795204
106	36	30	0.300780	22.590468	0.000000	672.567853	672.567853	202.595451	9528.761796	19611.795204
107	30	0	0.170865	0.000000	0.000000	672.567853	0.000000	115.089444	9643.851241	20284.363056
108	0	28	0.080083	521.151730	0.000000	0.000000	0.000000	0.080083	9643.931324	20284.363056
109	28	31	0.223206	826.465632	0.000000	0.000000	0.000000	0.223206	9644.154530	20284.363056
110	31	56	0.318967	45.865709	45.865709	0.000000	45.865709	0.318967	9644.473497	20284.363056
111	56	20	0.285401	83.647270	83.647270	45.865709	129.512979	13.375500	9657.848996	20284.363056
112	20	0	0.338563	0.000000	0.000000	129.512979	0.000000	44.186819	9702.035815	20413.876035
113	0	1	0.409325	584.513871	0.000000	0.000000	0.000000	0.409325	9702.445140	20413.876035
114	1	22	0.110579	491.216287	491.216287	0.000000	491.216287	0.110579	9702.555719	20413.876035
115	22	1	0.110579	584.513871	0.000000	491.216287	491.216287	54.428679	9756.984398	20413.876035
116	1	0	0.409325	0.000000	0.000000	491.216287	0.000000	201.476222	9958.460620	20905.092323
117	0	28	0.080083	521.151730	0.000000	0.000000	0.000000	0.080083	9958.540703	20905.092323
118	28	15	0.490637	591.324576	591.324576	0.000000	591.324576	0.490637	9959.031340	20905.092323
119	15	28	0.490637	521.151730	0.000000	591.324576	591.324576	290.616252	10249.647592	20905.092323
120	28	0	0.080083	0.000000	0.000000	591.324576	0.000000	47.435050	10297.082642	21496.416899
121	0	16	0.217066	23.781067	0.000000	0.000000	0.000000	0.217066	10297.299708	21496.416899
122	16	53	0.157823	256.709125	0.000000	0.000000	0.000000	0.157823	10297.457531	21496.416899
123	53	41	0.379549	108.633205	108.633205	0.000000	108.633205	0.379549	10297.837080	21496.416899
124	41	53	0.379549	256.709125	256.709125	108.633205	365.342330	41.611194	10339.448274	21496.416899
125	53	16	0.157823	23.781067	0.000000	365.342330	365.342330	57.817110	10397.265384	21496.416899
126	16	0	0.217066	0.000000	0.000000	365.342330	0.000000	79.520334	10476.785718	21861.759229
127	0	28	0.080083	521.151730	0.000000	0.000000	0.000000	0.080083	10476.865801	21861.759229
128	28	47	0.169007	829.959953	0.000000	0.000000	0.000000	0.169007	10477.034807	21861.759229
129	47	19	0.084429	782.952492	0.000000	0.000000	0.000000	0.084429	10477.119237	21861.759229
130	19	44	0.181084	38.375144	38.375144	0.000000	38.375144	0.181084	10477.300321	21861.759229
131	44	19	0.181084	782.952492	0.000000	38.375144	38.375144	7.130200	10484.430521	21861.759229
132	19	47	0.084429	829.959953	0.000000	38.375144	38.375144	3.324414	10487.754935	21861.759229
133	47	28	0.169007	521.151730	0.000000	38.375144	38.375144	6.654663	10494.409598	21861.759229
134	28	0	0.080083	0.000000	0.000000	38.375144	0.000000	3.153274	10497.562873	21900.134373
